filename class_name class_number
ILSVRC2012_val_00000027.JPEG white_wolf 270
ILSVRC2012_val_00000069.JPEG tricycle 870
ILSVRC2012_val_00000076.JPEG barbershop 424
ILSVRC2012_val_00000091.JPEG white_wolf 270
ILSVRC2012_val_00000129.JPEG hotdog 934
ILSVRC2012_val_00000156.JPEG dhole 274
ILSVRC2012_val_00000188.JPEG coyote 272
ILSVRC2012_val_00000197.JPEG hotdog 934
ILSVRC2012_val_00000261.JPEG toyshop 865
ILSVRC2012_val_00000309.JPEG hotdog 934
ILSVRC2012_val_00000339.JPEG ballpoint 418
ILSVRC2012_val_00000409.JPEG white_wolf 270
ILSVRC2012_val_00000501.JPEG white_wolf 270
ILSVRC2012_val_00000530.JPEG bison 347
ILSVRC2012_val_00000561.JPEG analog_clock 409
ILSVRC2012_val_00000579.JPEG toyshop 865
ILSVRC2012_val_00000604.JPEG dingo 273
ILSVRC2012_val_00000762.JPEG barbershop 424
ILSVRC2012_val_00000785.JPEG kelpie 227
ILSVRC2012_val_00000811.JPEG hotdog 934
ILSVRC2012_val_00000813.JPEG television 851
ILSVRC2012_val_00000879.JPEG bookshop 454
ILSVRC2012_val_00000896.JPEG library 624
ILSVRC2012_val_00000912.JPEG timber_wolf 269
ILSVRC2012_val_00000953.JPEG tricycle 870
ILSVRC2012_val_00001011.JPEG wall_clock 892
ILSVRC2012_val_00001012.JPEG bicycle-built-for-two 444
ILSVRC2012_val_00001172.JPEG timber_wolf 269
ILSVRC2012_val_00001212.JPEG dingo 273
ILSVRC2012_val_00001243.JPEG bicycle-built-for-two 444
ILSVRC2012_val_00001311.JPEG bicycle-built-for-two 444
ILSVRC2012_val_00001342.JPEG tricycle 870
ILSVRC2012_val_00001469.JPEG timber_wolf 269
ILSVRC2012_val_00001510.JPEG tobacco_shop 860
ILSVRC2012_val_00001520.JPEG quill 749
ILSVRC2012_val_00001659.JPEG mountain_bike 671
ILSVRC2012_val_00001661.JPEG mountain_bike 671
ILSVRC2012_val_00001733.JPEG book_jacket 921
ILSVRC2012_val_00001820.JPEG tobacco_shop 860
ILSVRC2012_val_00001892.JPEG motor_scooter 670
ILSVRC2012_val_00001965.JPEG motor_scooter 670
ILSVRC2012_val_00001980.JPEG motor_scooter 670
ILSVRC2012_val_00002063.JPEG white_wolf 270
ILSVRC2012_val_00002178.JPEG analog_clock 409
ILSVRC2012_val_00002226.JPEG cheeseburger 933
ILSVRC2012_val_00002244.JPEG stethoscope 823
ILSVRC2012_val_00002259.JPEG timber_wolf 269
ILSVRC2012_val_00002565.JPEG timber_wolf 269
ILSVRC2012_val_00002599.JPEG unicycle 880
ILSVRC2012_val_00002610.JPEG birdhouse 448
ILSVRC2012_val_00002611.JPEG tobacco_shop 860
ILSVRC2012_val_00002632.JPEG pot 738
ILSVRC2012_val_00002753.JPEG cheeseburger 933
ILSVRC2012_val_00002786.JPEG dingo 273
ILSVRC2012_val_00002853.JPEG analog_clock 409
ILSVRC2012_val_00002897.JPEG EntleBucher 241
ILSVRC2012_val_00002942.JPEG tricycle 870
ILSVRC2012_val_00002948.JPEG white_wolf 270
ILSVRC2012_val_00003005.JPEG library 624
ILSVRC2012_val_00003028.JPEG bookshop 454
ILSVRC2012_val_00003134.JPEG oscilloscope 688
ILSVRC2012_val_00003172.JPEG dhole 274
ILSVRC2012_val_00003245.JPEG unicycle 880
ILSVRC2012_val_00003265.JPEG white_wolf 270
ILSVRC2012_val_00003394.JPEG toyshop 865
ILSVRC2012_val_00003455.JPEG stopwatch 826
ILSVRC2012_val_00003634.JPEG digital_watch 531
ILSVRC2012_val_00003643.JPEG digital_clock 530
ILSVRC2012_val_00003721.JPEG digital_clock 530
ILSVRC2012_val_00003765.JPEG grey_fox 280
ILSVRC2012_val_00003873.JPEG mountain_bike 671
ILSVRC2012_val_00003879.JPEG motor_scooter 670
ILSVRC2012_val_00003908.JPEG hotdog 934
ILSVRC2012_val_00003930.JPEG hotdog 934
ILSVRC2012_val_00003965.JPEG barbershop 424
ILSVRC2012_val_00004039.JPEG buckle 464
ILSVRC2012_val_00004041.JPEG cheeseburger 933
ILSVRC2012_val_00004147.JPEG mountain_bike 671
ILSVRC2012_val_00004178.JPEG coyote 272
ILSVRC2012_val_00004307.JPEG bell_cote 442
ILSVRC2012_val_00004318.JPEG unicycle 880
ILSVRC2012_val_00004320.JPEG dingo 273
ILSVRC2012_val_00004321.JPEG cheeseburger 933
ILSVRC2012_val_00004326.JPEG tobacco_shop 860
ILSVRC2012_val_00004334.JPEG dingo 273
ILSVRC2012_val_00004360.JPEG analog_clock 409
ILSVRC2012_val_00004372.JPEG Siberian_husky 250
ILSVRC2012_val_00004465.JPEG motor_scooter 670
ILSVRC2012_val_00004540.JPEG grey_fox 280
ILSVRC2012_val_00004604.JPEG white_wolf 270
ILSVRC2012_val_00004619.JPEG motor_scooter 670
ILSVRC2012_val_00004633.JPEG grocery_store 582
ILSVRC2012_val_00004662.JPEG wall_clock 892
ILSVRC2012_val_00004789.JPEG motor_scooter 670
ILSVRC2012_val_00004869.JPEG coyote 272
ILSVRC2012_val_00004870.JPEG red_wolf 271
ILSVRC2012_val_00004871.JPEG digital_clock 530
ILSVRC2012_val_00005007.JPEG unicycle 880
ILSVRC2012_val_00005079.JPEG bookshop 454
ILSVRC2012_val_00005167.JPEG tricycle 870
ILSVRC2012_val_00005274.JPEG bicycle-built-for-two 444
ILSVRC2012_val_00005303.JPEG mountain_bike 671
